article_15,avg_size,edits
United States Senate,71955,1,
Units of measurement,18470,1,
University of Colorado Denver,55153,1,
University of South Africa,19462,2,
Unlikely Angel,3171,1,
Uranus (mythology),17140,1,
Uranus,111143,1,
Urticaria,39371,2,
Usk Reservoir,2343,1,
USRC Jefferson Davis (1853),5803,1,
Utica, New York,102943,2,
Utrecht, KwaZulu-Natal,7611,3,
Va banque,1398,1,
VA,3742,1,
Valkyrie Drive,24589,1,
Vandiyur Mariamman Teppakulam,2419,1,
Vanessa Tevi,3601,1,
Vanity 6,8395,1,
Vector (magazine),738,3,
Veganism,123543,1,
Vegetarianism,119048,1,
Vegetative reproduction,11426,1,
Venues of the 1976 Summer Olympics,30370,2,
Venus,117521,1,
Veronica Lake,31934,1,
Vesselplasty,4188,2,
Vibius (praenomen),2756,1,
Vibration calibrator,3223,1,
Vibration,41681,1,
Vibration,42601,1,
Vibration,42901,1,
Vibration,42905,4,
Vickers 10-inch /45 naval gun,5542,1,
Victor G. Atiyeh,11770,2,
Victor Vito (rugby union),6895,1,
Victoria Cross,73361,2,
Vienna horn,4064,2,
Viewfinder,8761,1,
Viktor Tikhonov (ice hockey, born 1988),11206,1,
Vinicius and Tom,3320,1,
Viola,34925,1,
Virander Singh Chauhan,19298,1,
Virtual queue,12574,3,
Visual arts by indigenous peoples of the Americas,102235,1,
Vital du Four,1660,1,
Voivodeship road,84234,1,
Volcanic explosivity index,11617,1,
Vonda Ward,14890,1,
Voortrekkers (youth organisation),7804,1,
Wagner–Fischer algorithm,9822,1,
Walter Afanasieff,9281,1,
Walter Sisulu,10569,1,
Walter Sisulu,9964,1,
Walter Womersley,3485,1,
Wannsee Conference,41423,1,
Ward Churchill,67562,1,
Warren I. Lee,2927,1,
Warriors (Imagine Dragons song),5317,1,
Warsaw Pact,39652,1,
Washington Cemetery (Washington Court House, Ohio),6552,2,
Wastewater engineering,13312,1,
Watch Me (Whip/Nae Nae),14306,1,
Water filter,10856,1,
Water filter,10857,1,
Water filter,10861,1,
Water filter,10876,1,
Water filter,11020,1,
Water organ,17058,1,
Water pollution,38424,1,
Water Supply and Sanitation Collaborative Council,14048,6,
Water supply and sanitation in Ghana,56459,2,
Water supply and sanitation in Kenya,75401,1,
Water supply and sanitation in Saudi Arabia,38353,1,
Water supply and sanitation in Saudi Arabia,38727,5,
Water supply and sanitation in South Africa,58244,2,
Water supply and sanitation in the United Kingdom,7529,1,
Water Tower Place,13442,1,
Water well,28343,2,
Water well,29920,1,
Water well,29924,1,
Water wheel,58285,1,
Water,94942,1,
Waterloo Bay Massacre,4369,1,
Waun Lefrith,3603,2,
Wax,11589,1,
Wax,11788,1,
Wax,11795,1,
Wax,11864,1,
Wax,11894,1,
Weak interaction,28064,1,
Weald of Kent Grammar School,7015,1,
Wealthminder,3545,1,
Weather vane,12920,1,
Wellington Management Company,4337,1,
Wendy Mesley,3927,1,
Western Cape,42503,1,
Western Cape,42701,1,
Western Cape,42780,1,
Western Ojibwa language,21184,1,
Westfield Tuggerah,7960,1,
Whale,94236,7,
What Do You Mean?,41815,1,
What,54,1,
White Camellia,42,1,
Wide West,40194,1,
Wild Cards (anthology),6226,1,
Wildlife conservation,12209,2,
Wildlife conservation,12220,1,
Wildlife conservation,12380,1,
Wildlife conservation,12381,1,
Wildlife management,20106,2,
Wildlife management,20133,1,
William Levitt,11870,1,
William Roy,38273,1,
Willink van Collenprijs,12415,2,
Willy Brandt,98320,4,
Wiltshire,32426,1,
Wind power in the Republic of Ireland,26764,1,
Winnie Madikizela-Mandela,28539,1,
Winnie Madikizela-Mandela,28561,1,
Winnie Madikizela-Mandela,28562,1,
Winnie Madikizela-Mandela,28627,2,
Wishful thinking,45369,1,
Withers (disambiguation),1026,1,
WKEF,25247,1,
Wolf–Hirschhorn syndrome,6242,1,
Wolverine: Weapon X,6394,3,
Women in India,70772,1,
Woo Woo,57,2,
Woo,1606,1,
Wood,38260,4,
Wood,51017,1,
Wood,51079,1,
Wool,38021,1,
Wool,38023,2,
Wool,38087,3,
Woolworths (South Africa),13416,3,
Word order,23226,1,
Workplace Hazardous Materials Information System,5617,1,
Works Progress Administration,48523,1,
World AIDS Day,16983,3,
World government,73794,1,
World War II casualties of the Soviet Union,88602,1,
World War II,226781,1,
World War III,68296,2,
Wurlitzer,40649,1,
X++,46,2,
Xi River virus,3367,1,
XXL (magazine),69573,1,
Yak,25160,4,
Yakiniku,15910,1,
Yamhill River lock and dam,95120,1,
Yellow bumblebee,13096,1,
Yellow Pages,58,1,
Yemi Osinbajo,17155,1,
Yes,6565,1,
Yohan Cabaye,60318,2,
Youth culture,22292,2,
Youth culture,22786,1,
Yttrium,50629,1,
Yucca brevifolia,14065,1,
Yugoslav Partisans,72493,1,
Yuichi Nakagalchi,46,1,
Yuichi Nakagashi,1491,1,
Z-transform,29798,1,
Zagat (name),272,1,
Zagat,14586,1,
Zakat (disambiguation),592,1,
Zakat,46563,1,
Zamzam Well,15175,1,
Zenos Frudakis,10008,1,
Zermelo–Fraenkel set theory,33655,9,
Zodiak Media,8645,1,
Zombies, Run!,28861,1,
Zott (dairy company),13095,1,
Świdnica,10209,1,
