article_14,edits,avg_size,
Mohammad Shah Qajar,1,8413,
Mozaffar ad-Din Shah Qajar,2,14280,
Sultan Husayn,1,11884,
Hira,1,2685,
Asadollah Lajevardi,1,8308,
Ismail II,1,6318,
Joubi Bridge,1,1061,
Dyslexia,6,57656,
Antioxidant,3,130373,
Stevia,2,33100,
Executive producer,1,6192,
Onion,1,49873,
Brazil nut,1,19211,
Paul Gross,1,17261,
Albert Einstein,1,122247,
Berlin,1,118305,
Patiala,1,28851,
Emblems of the International Red Cross and Red Crescent Movement,1,38882,
List of countries by traffic-related death rate,1,33683,
List of countries by length of expressways,2,8392,
Zürich,3,90129,
Napa County_ California,1,79388,
Geography of Ireland,1,47585,
Glacier National Park (U.S.),1,71255,
Gyeongju,1,114397,
John Berkey,1,1941,
James Luceno,1,4373,
Paul Finch,1,17805,
Larry Dann,1,3323,
Plautus Productions,1,6770,
It Ain't Me_ Babe (comics),1,2074,
Meryl Streep,1,78329,
Hook (film),1,30818,
Twin cities,3,31934,
Gauteng,1,45292,
Western Cape,1,36111,
Northern Cape,1,22975,
North West (South African province),1,15512,
List of South African provinces by population,1,5481,
South Africa,1,130607,
Flag of Bangladesh,2,13010,
Mike Cahill (director),1,15211,
Warid Bangladesh,1,9203,
Turkic peoples,1,89301,
Azerbaijanis,2,97772,
Love & Life (Mary J. Blige album),1,15809,
-stan,1,18813,
Amoebozoa,1,10421,
Opisthokont,2,9655,
Amoeba (genus),1,12903,
Ciliate,4,16864,
Amoeba,1,15185,
Phuthaditjhaba,3,3992,
South African cuisine,1,19275,
Charles Mopeli Stadium,1,1132,
List of South African slang words,2,65003,
Free State Stars F. C.,1,9501,
Castle milk stout,1,575,
Underground hangar,1,4795,
Speciation,5,53448,
Formaldehyde,1,59992,
Table Mountain,1,31261,
Drakensberg,1,26032,
Cape Peninsula,1,20853,
Ediacaran biota,1,83870,
Algeria,1,110243,
Portuguese language,1,100020,
Battle of Kursk,1,151366,
Jerry Jones,3,12761,
Donetsk People's Republic,1,108943,
Anna Todd,1,1322,
Claude Shannon,1,34439,
Principia Mathematica,1,49137,
Frequency-hopping spread spectrum,1,11202,
Boiling,1,10444,
Internal consistency of the Bible,2,70324,
Biome,2,25266,
High-concept,1,7526,
Kiryat Gat,1,9100,
Cubicle,1,14947,
Office,1,25928,
The Plot Against America,2,15311,
Michael I. Jordan,1,6419,
Ranan Lurie,1,20873,
Projective resolution,1,110,
Russia–United States relations,1,79341,
Paper,1,27649,
Crazy Eddie,1,28149,
Mangal Pandey,2,22248,
Vendetta,2,2824,
Punk in Brazil,1,20974,
WeChat,1,18773,
List of countries by carbon dioxide emissions,1,47869,
Environmental impact of aviation,2,60777,
Sustainability,1,117543,
Skeptical Science,1,15390,
List of accolades received by Kahaani,10,21184,
Bullying,5,61889,
Yacht,1,19165,
Miss Universe,1,44987,
Bantayan_ Cebu,1,20352,
Ben Sidran,1,7188,
Shore Fire Media,1,7587,
Daniel Webster (Florida politician),1,35102,
Transgenesis,1,11074,
List of Arduino boards and compatible systems,1,111775,
Muhammad: The Final Legacy,1,4016,
Ayahuasca,1,52800,
Food,1,61699,
Salicylic acid,1,28661,
World Wide Web Consortium,1,16318,
Dmitri Mendeleev,1,32435,
Scott Rudin,1,26175,
William Gates Building_ Cambridge,3,3647,
List of countries by student performance,1,10251,
Tomb Raider II,1,23494,
Emily Kinney,2,9803,
Michael Reagan,8,23363,
Raymond Joseph,1,5999,
Margaret Katherine Majer,1,6633,
Pinophyta,1,29811,
Picea glauca,9,72015,
Erosion,1,64919,
Transylvania,2,39180,
Anurag Kashyap,1,45802,
List of most expensive video games to develop,1,17346,
Kapuska,1,934,
Laos,1,91314,
Faisalabad,1,36383,
Cost of living,1,7909,
Guerrilla gardening,1,24423,
Scott Hartnell,1,24033,
Abu al-Misk Kafur,1,8196,
United Nations High Commissioner for Refugees Representation in Cyprus,1,27245,
Memorial City_ Houston,1,17866,
International Growth Centre,1,25266,
Arthur Falcone,1,10745,
Christmas,2,139540,
Oakland_ California,1,114480,
Randstad,5,21480,
Something (concept),2,7818,
Hera,1,39336,
Playboy,2,44816,
Linda Ronstadt,1,151460,
Larry Ellison,1,41688,
Alex Smith,1,59402,
Hansika Motwani,1,16448,
Diary of a Wimpy Kid (series),1,17894,
Andrew Wiggins,1,18635,
Longitude,1,24511,
Photon,1,95336,
List of power stations in South Africa,1,66057,
Energy in South Africa,1,13869,
Bokpoort CSP,2,2232,
Hyrax Hill,2,19893,
Matsieng Footprints,1,5388,
Tiya (archaeological site),1,8753,
Kalahari Debate,1,11343,
Iron Age,3,43764,
Shiatsu,2,12157,
Francisella tularensis,1,13680,
Meteoric iron,1,10951,
Iron meteorite,1,15712,
HIV/AIDS,1,151433,
Pathophysiology of HIV/AIDS,1,9019,
Feed,1,1891,
AREP,4,8038,
Étienne Tricaud,1,6777,
Ecole National des Ponts et Chaussées,1,84,
Mumsnet,1,15570,
Momlogic,1,1014,
History of South Africa,3,81813,
Dutch language,2,135064,
Electricity generation,1,32438,
Puno,1,8170,
Anti-roll bar,1,12853,
Hasta Siempre_ Comandante,1,6956,
List of Alcatraz escape attempts,1,12478,
MDMA,1,77268,
Aphrodisiac,1,22676,
Dopaminergic pathways,1,6035,
FOSB,1,36109,
Neurobiological effects of physical exercise,3,72072,
Montgomery County Public Schools,1,45144,
Dalai Lama,1,33639,
Estuary,1,22291,
Wairau Affray,1,19540,
Tulku,1,10367,
Alexander Izvolsky,1,9425,
Emancipation reform of 1861,1,19042,
Georgia within the Russian Empire,1,27723,
Fall of communism in Albania,1,8075,
Tibet (1912–51),1,36395,
Dual system of government,1,13700,
Ester,1,25470,
Kevin Costner,2,39344,
Barnstable High School,1,21339,
White blood cell,1,26594,
Black people,1,79053,
Logistics,1,39425,
Capital South Wales,1,7772,
Stagg Music,1,3678,
List of Mike & Molly episodes,1,5955,
The Three Graces,2,14308,
History of the Middle East,1,56969,
Archbishop of Petra,1,2362,
Folding screen,1,12023,
The Three Graces (disambiguation),1,2521,
Bit-Istar,1,2136,
Ancient Hebrew writings,1,23914,
Glass,1,59328,
J. Robert Oppenheimer,1,108762,
Iodine-131,2,42895,
Sunburn,1,25434,
Entertainment (2014 film),7,32737,
Action Jackson (2014 film),2,10012,
German submarine U-505,1,41122,
German submarine U-25 (1936),1,8887,
German submarine U-26 (1936),1,8401,
German submarine U-402,2,13887,
Scuttling of SMS Cormoran,1,6024,
German submarine U-410,2,14541,
German submarine U-249,1,7667,
German submarine U-266,1,8465,
Chūō Main Line,1,48306,
Iida Line,1,25524,
Toyohashi Station,1,7839,
Climate commitment,1,3815,
Hamangia culture,1,3919,
Ancient Macedonians,1,105365,
IPCC Fourth Assessment Report,1,55283,
Abila (Decapolis),1,8407,
List of through trains in Japan,1,8892,
Gürcütepe,1,3653,
Animal husbandry,1,8333,
Peplum (film genre),1,76010,
Lilli Palmer,1,10290,
Lotte in Weimar: The Beloved Returns,1,7737,
Ottone,1,24869,
Gaito Gazdanov,1,4229,
White émigré,1,14616,
Lotte in Weimar (film),1,2312,
Negishi,1,824,
HBSS,1,341,
The Loves of Salammbo,1,1460,
Vladimir Semyonov (diplomat),1,3334,
Apartheid,3,148659,
Informer (song),2,13838,
Move Any Mountain,1,8093,
Hope chest,1,10457,
Allen West (politician),1,46707,
Vyacheslav Kochemasov,1,10530,
Alexander Ross Clarke,10,50322,
Atom,1,109879,
Eigenface,1,18050,
Compressed sensing,3,33420,
Lanthanum aluminate-strontium titanate interface,3,35019,
Trade dress,2,12515,
Pantone,1,19346,
Ponceau 4R,2,8423,
Patent Blue V,1,5331,
Allura Red AC,1,9371,
Monochromatic color,1,1254,
Biological pigment,1,26635,
Cell (biology),1,44446,
Perspective projection distortion,2,18703,
Chemical weapon proliferation,1,22398,
Think different,1,19824,
College admissions in the United States,1,219428,
Keystone effect,1,4803,
Math–verbal achievement gap,1,12750,
ISO 3166-2,1,51917,
Czech Republic,1,103093,
Ceramic,1,16817,
Diocese,1,14749,
Education in the United States,1,136717,
Abitur,2,26980,
Matura,1,38210,
Stirrup,1,47534,
European Qualifications Framework,2,8943,
Royal Norwegian Air Force,1,35300,
Pleasant Valley State Prison,1,7679,
Sanjay,1,1683,
Scottish Labour Party,1,45288,
Inna,1,61505,
The President's Daughter series,1,6961,
SB.TV,1,10087,
Boat,2,19047,
Outer space,1,87892,
Sand,1,12497,
Wild Oranges,1,4793,
The Greater Glory,1,3149,
Newsboys' Home,1,4469,
If I Were King (1920 film),1,2194,
Treason (1933 film),1,1746,
The Barber Shop,1,2336,
Gridiron Flash,1,1028,
A Woman There Was,1,6162,
Topsy and Eva,1,2389,
When Men Desire,1,5968,
Eastern Europe,1,39194,
Great Barrier Reef,1,76464,
Tombstone_ Arizona,1,56591,
Hard water,1,35067,
Coconino Sandstone,1,5039,
Hole-in-the-Rock (Papago Park),1,2482,
Air pollution,1,80592,
Cape Town,1,85936,
Voortrekker Monument,2,19480,
JSE Limited,2,11483,
Vusi Pikoli,1,7807,
Visa requirements for United Arab Emirati citizens,1,45206,
Visa requirements for South African citizens,3,69186,
The Fat Controller,1,16273,
Thomas Carr College,1,5802,
Nagothana,1,11650,
Doug Marrone,1,12955,
Huckleberry Finn,1,13392,
Frank Hamilton (singer),1,6871,
Fifty Shades of Grey,1,45993,
Death of Leelah Alcorn,1,6863,
Peshawar,1,61620,
Mohenjo-daro,1,22129,
Gujranwala,1,25178,
Murree,1,20858,
Swat District,1,42582,
Jhelum,2,43341,
Dera Ghazi Khan,1,65063,
Malam Jabba,1,2754,
Richard Ramirez,1,35308,
Human nutrition,1,111721,
Borehole,1,5231,
Waleed Abdalati,1,4642,
Ebola virus disease,10,142964,
Matthew Guy,1,20830,
Danielle Green,1,3508,
Marlene Kairouz,1,3517,
David Hodgett,1,5397,
Geoff Howard,1,4185,
Jill Hennessy (politician),1,4298,
Natalie Hutchins,1,9389,
Uranium,1,85350,
New Horizons,1,96762,
Pistol Star,1,4377,
Church of the Holy Sepulchre,1,55080,
Oceania,1,39304,
Africa Day,1,2298,
Experimental cancer treatment,1,31742,
Flying Cloud (clipper),1,16697,
Extracorporeal membrane oxygenation,1,23923,
Eye color,1,52177,
Exposure and response prevention,1,4678,
Extensively drug-resistant tuberculosis,1,22899,
Ezrin,1,9268,
Experimental political science,1,5462,
Extracellular RNA,1,46407,
Experimental factor ontology,1,5856,
2014 Hong Kong protests,8,178923,
Art of the Umbrella Movement,1,49016,
Adoption,2,104991,
Child abuse,1,103545,
Child sexual abuse,2,111406,
Emily Browning,2,21096,
October Crisis,1,34026,
Tooele_ Utah,1,20179,
Christy Clark,1,35337,
Sunita Williams,1,25547,
Blanche DuBois,1,7291,
Moscrop Secondary School,2,5654,
Campion School_ Hornchurch,1,6384,
Nadia Giosia,1,5290,
Reptile,1,90418,
Austrolestes annulosus,1,53,
Yellow admiral,1,6626,
Australian painted lady,3,19156,
Cynthia kershawi,1,63,
Nymphalis io,1,61,
Duckweed firetail,2,567,
Ham (chimpanzee),1,12224,
USS Nautilus (SSN-571),1,26959,
1984 Summer Olympics boycott,1,13459,
China–Somalia relations,1,10357,
Indonesian killings of 1965–66,1,50705,
Nelson Mandela,2,177017,
Russian Soviet Federative Socialist Republic,1,39531,
2_4-Dichlorophenoxyacetic acid,1,25642,
Socialist fraternal kiss,1,9059,
Halcones,1,9084,
Michael Coogan,2,4565,
Los Halcones,1,59,
Disttrack,1,49,
Seculert,1,20508,
Scratch and win,1,53,
PinkStats,1,71,
Dune film,1,25,
Mahatma Gandhi,7,161065,
V. R. Krishna Iyer,2,22568,
Fundamental Rights_ Directive Principles and Fundamental Duties of India,1,52325,
Black people,1,77848,
Igbo people,1,98620,
Babalawo,1,2203,
Iyalawo,4,6545,
Cedar City_ Utah,1,16598,
Samford University,1,24086,
Jim Kelly (martial artist),1,9268,
CCNA,1,4765,
Animal husbandry in South Africa,3,2840,
Banksia serratifolia,1,63,
Dryandroideae,1,69,
Banksia guentheri Regel,1,79,
Cuminia fernandezia,1,81,
Curcuma cordifolia,1,66,
Curcuma cordata,1,66,
Choristes (genus),1,55,
Callitropsis vietnamensis,1,91,
Drosera felix,1,97,
Chaldea,1,34010,
Tao Te Ching,1,27226,
Laozi,1,37232,
Gift economy,1,67588,
Ecbatana,1,6922,
Thesprotia,1,8000,
Wenzhou,2,44597,
Mediascape,2,1922,
Orange Free State,1,40530,
Mpumalanga,1,17177,
N1 road (South Africa),1,19833,
Mitchells Plain,1,10450,
Lydia Makhubu,2,1343,
List of rivers of South Africa,1,35671,
2014 Lesotho political crisis,1,18174,
Mothetjoa Metsing,1,4323,
